id	strain	ok	call.rate	sex
805	B6.A-17 BC1	234	0.9669	M
241	B6.A-17 BC1	237	0.9793	M
592	B6.A-17 BC1	238	0.9835	M
201	B6.A-17 BC1	233	0.9628	F
487	B6.A-17 BC1	235	0.9711	F
583	B6.A-17 BC1	234	0.9669	F
726	B6.A-17 BC1	229	0.9463	F
808	B6.A-17 BC1	235	0.9711	M
127	B6.A-17 BC1	235	0.9711	M
181	B6.A-17 BC1	234	0.9669	F
220	B6.A-17 BC1	234	0.9669	M
401	B6.A-17 BC1	238	0.9835	M
597	B6.A-17 BC1	232	0.9587	F
207	B6.A-17 BC1	234	0.9669	M
209	B6.A-17 BC1	233	0.9628	M
527	B6.A-17 BC1	234	0.9669	F
580	B6.A-17 BC1	231	0.9545	F
581	B6.A-17 BC1	239	0.9876	M
777	B6.A-17 BC1	234	0.9669	F
216	B6.A-17 BC1	233	0.9628	M
471	B6.A-17 BC1	228	0.9421	F
776	B6.A-17 BC1	235	0.9711	M
270	B6.A-17 BC1	233	0.9628	F
766	B6.A-17 BC1	229	0.9463	F
194	B6.A-17 BC1	235	0.9711	M
403	B6.A-17 BC1	234	0.9669	M
375	B6.A-17 BC1	14	0.0579	F
377	B6.A-17 BC1	21	0.0868	F
379	B6.A-17 BC1	37	0.1529	F
151	B6.A-19 BC1	226	0.9339	F
152	B6.A-19 BC1	232	0.9587	F
185	B6.A-19 BC1	230	0.9504	F
191	B6.A-19 BC1	233	0.9628	M
249	B6.A-19 BC1	237	0.9793	M
250	B6.A-19 BC1	235	0.9711	M
253	B6.A-19 BC1	234	0.9669	M
254	B6.A-19 BC1	232	0.9587	F
255	B6.A-19 BC1	234	0.9669	M
282	B6.A-19 BC1	237	0.9793	M
283	B6.A-19 BC1	232	0.9587	M
284	B6.A-19 BC1	236	0.9752	M
334	B6.A-19 BC1	232	0.9587	F
335	B6.A-19 BC1	233	0.9628	M
337	B6.A-19 BC1	232	0.9587	M
343	B6.A-19 BC1	235	0.9711	M
344	B6.A-19 BC1	231	0.9545	F
345	B6.A-19 BC1	233	0.9628	F
404	B6.A-19 BC1	233	0.9628	F
408	B6.A-19 BC1	231	0.9545	F
409	B6.A-19 BC1	232	0.9587	F
410	B6.A-19 BC1	235	0.9711	M
412	B6.A-19 BC1	231	0.9545	F
413	B6.A-19 BC1	234	0.9669	F
454	B6.A-19 BC1	236	0.9752	F
456	B6.A-19 BC1	237	0.9793	M
462	B6.A-19 BC1	237	0.9793	M
497	B6.A-19 BC1	235	0.9711	F
499	B6.A-19 BC1	197	0.814	F
500	B6.A-19 BC1	235	0.9711	M
517	B6.A-19 BC1	233	0.9628	F
518	B6.A-19 BC1	238	0.9835	M
532	B6.A-19 BC1	230	0.9504	F
533	B6.A-19 BC1	234	0.9669	F
540	B6.A-19 BC1	236	0.9752	M
544	B6.A-19 BC1	237	0.9793	M
551	B6.A-19 BC1	234	0.9669	F
586	B6.A-19 BC1	235	0.9711	M
588	B6.A-19 BC1	228	0.9421	F
603	B6.A-19 BC1	234	0.9669	M
606	B6.A-19 BC1	239	0.9876	M
615	B6.A-19 BC1	238	0.9835	M
616	B6.A-19 BC1	237	0.9793	M
617	B6.A-19 BC1	235	0.9711	F
637	B6.A-19 BC1	235	0.9711	F
642	B6.A-19 BC1	236	0.9752	M
652	B6.A-19 BC1	238	0.9835	M
655	B6.A-19 BC1	233	0.9628	F
659	B6.A-19 BC1	223	0.9215	M
663	B6.A-19 BC1	234	0.9669	M
664	B6.A-19 BC1	231	0.9545	F
665	B6.A-19 BC1	225	0.9298	M
675	B6.A-19 BC1	235	0.9711	M
677	B6.A-19 BC1	231	0.9545	M
680	B6.A-19 BC1	231	0.9545	F
784	B6.A-19 BC1	233	0.9628	M
788	B6.A-19 BC1	227	0.938	F
276	B6.A-19 BC1	236	0.9752	M
278	B6.A-19 BC1	231	0.9545	F
858	B6.A-19 BC1	236	0.9752	M
861	B6.A-19 BC1	235	0.9711	F
636	B6.A-19 BC1	237	0.9793	M
676	B6.A-19 BC1	218	0.9008	M
186	B6.A-19 BC1	232	0.9587	F
856	B6.A-19 BC1	236	0.9752	F
188	B6.A-19 BC1	233	0.9628	M
190	B6.A-19 BC1	233	0.9628	F
342	B6.A-19 BC1	221	0.9132	F
149	B6.A-19 BC1	225	0.9298	M
234	B6.A-19 BC1	197	0.814	F
237	B6.A-19 BC1	233	0.9628	F
407	B6.A-19 BC1	234	0.9669	F
600	B6.A-19 BC1	234	0.9669	F
678	B6.A-19 BC1	234	0.9669	M
274	B6.A-19 BC1	236	0.9752	M
411	B6.A-19 BC1	234	0.9669	F
537	B6.A-19 BC1	238	0.9835	M
455	B6.A-19 BC1	238	0.9835	M
657	B6.A-19 BC1	237	0.9793	M
783	B6.A-19 BC1	231	0.9545	M
660	B6.A-19 BC1	232	0.9587	F
233	B6.A-19 BC1	233	0.9628	M
147	B6.A-19 BC1	232	0.9587	F
248	B6.A-19 BC1	235	0.9711	M
549	B6.A-19 BC1	238	0.9835	M
347	B6.A-19 BC1	230	0.9504	F
589	B6.A-19 BC1	236	0.9752	F
602	B6.A-19 BC1	233	0.9628	F
189	B6.A-19 BC1	235	0.9711	F
146	B6.A-19 BC1	234	0.9669	M
251	B6.A-19 BC1	215	0.8884	F
273	B6.A-19 BC1	234	0.9669	M
519	B6.A-19 BC1	237	0.9793	M
541	B6.A-19 BC1	239	0.9876	M
656	B6.A-19 BC1	239	0.9876	M
338	B6.A-19 BC1	231	0.9545	F
459	B6.A-19 BC1	233	0.9628	M
235	B6.A-19 BC1	234	0.9669	M
641	B6.A-19 BC1	232	0.9587	F
662	B6.A-19 BC1	230	0.9504	F
144	B6.A-19 BC1	235	0.9711	M
542	B6.A-19 BC1	235	0.9711	F
601	B6.A-19 BC1	234	0.9669	F
